cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
Caciotta,"cow, goat, sheep, water buffalo",Italy,Cheddar,"semi-soft, artisan","compact, firm",natural,pale yellow,mild,earthy,True,False
Cacow Belle,cow,United States,Cheddar,"semi-soft, artisan","creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",True,False
Caerphilly,cow,"United Kingdom, Wales",Cheddar,hard,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,True,False
Cahill's Irish Porter Cheddar,cow,Ireland,Cheddar,"semi-hard, artisan",firm,bloomy,brownish yellow,"full-flavored, tangy",rich,True,False
Cairnsmore,sheep,Scotland,Cheddar,"hard, artisan","crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,True,False
Camembert,cow,France,Cheddar,"soft, artisan","smooth, soft-ripened",natural,pale yellow,sweet,"buttery, rich",False,False
Camembert Calvados,cow,France,Cheddar,"soft, semi-soft","creamy, smooth, springy",natural,yellow,savory,"aromatic, fruity",True,False
Canadian Cheddar,"cow, goat, sheep",Canada,Cheddar,"hard, artisan, processed","crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",False,False
Canastra cheese,cow,Brazil,Cheddar,artisan,"crumbly, firm, supple",rindless,yellow,spicy,aromatic,True,False
Cantal,cow,France,Cheddar,"semi-hard, artisan",firm,natural,pale yellow,"creamy, pronounced, spicy","fruity, spicy",False,False
Cape Vessey,goat,Canada,Cheddar,"semi-soft, artisan","chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",True,False
Caprano,goat,Canada,Cheddar,"hard, semi-hard","crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",True,False
Capriago,goat,United States,Cheddar,"hard, artisan, brined",firm,washed,pale yellow,"nutty, sweet","nutty, spicy",False,False
Caprotto,goat,Italy,Cheddar,"hard, artisan",compact,natural,straw,"sharp, spicy","floral, strong",False,False
Carabiner,cow,United States,Cheddar,"semi-hard, artisan","dense, firm",natural,yellow,"nutty, salty, sweet",earthy,True,False
Carlow,cow,Ireland,Cheddar,"semi-hard, artisan","firm, smooth",waxed,golden yellow,"mild, savory, spicy","milky, sweet",True,False
Carnia Altobut,cow,Italy,Cheddar,"hard, artisan","compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",False,False
Carrick,cow,Scotland,Cheddar,"hard, organic",creamy,edible,cream,citrusy,earthy,True,False
Carrot Rebel,cow,Austria,Cheddar,"semi-hard, artisan",creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",False,False
Castelo Branco,"goat, sheep",Portugal,Cheddar,"semi-soft, artisan","brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,True,False
Castigliano,"cow, goat, sheep",Spain,Cheddar,hard,firm,natural,yellow,"acidic, salty, spicy",rich,False,False
Cave Rebel,cow,Austria,Cheddar,"hard, artisan","compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",True,False
Cello Thick & Smooth Mascarpone,cow,United States,Cheddar,"fresh soft, processed","buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",True,True
Celtic Promise,cow,United Kingdom,Cheddar,"semi-soft, artisan",creamy,washed,yellow,full-flavored,pungent,True,False
Cerney Pyramid,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan",creamy,natural,white,"citrusy, lemony, mild, sweet","earthy, grassy, lactic",True,False
Chabichou du Poitou,goat,France,Cheddar,"semi-soft, artisan",creamy,bloomy,white,"salty, sweet, tangy",goaty,False,False
Chabis de Gatine,goat,France,Cheddar,"soft, artisan","firm, smooth",natural,white,"salty, sharp",goaty,False,False
Challerhocker,cow,Switzerland,Cheddar,hard,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",False,False
Checkerboard Cheddar,cow,United States,Cheddar,"semi-hard, artisan",crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,False,False
Cheddar,cow,England,Cheddar,hard,compact,natural,pale yellow,"creamy, sharp",strong,False,False
Cheddar LaDiDa Lavender,cow,United States,Cheddar,"semi-hard, artisan","creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,True,False
Cheddar with Irish Porter,cow,Ireland,Cheddar,"semi-hard, artisan",smooth,washed,pale yellow,"fruity, tangy","pungent, rich",False,True
Cheddar with Red Wine,cow,Ireland,Cheddar,"semi-hard, artisan",firm,natural,pale yellow,"fruity, tangy","fruity, rich",True,False
Cheese Curds,cow,"Canada, India, United States",Cheddar,fresh firm,"firm, springy",natural,white,"mild, milky",fresh,True,False
Cheshire,cow,United Kingdom,Cheddar,hard,"crumbly, dense",cloth wrapped,orange,earthy,"grassy, spicy",False,False
Chevre Log,goat,United States,Cheddar,fresh soft,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",True,False
Childwickbury,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan","creamy, smooth",natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",True,False
Chilli Caciotta,"cow, sheep",Italy,Cheddar,"semi-soft, artisan","creamy, smooth",natural,pale yellow,spicy,"mild, sweet",False,False
Chocolate Lab,cow,United States,Cheddar,"hard, artisan",firm,washed,pale yellow,"pungent, sharp, sweet",rich,True,False
Chocolate Stout Cheddar,cow,United States,Cheddar,"semi-hard, artisan",firm,natural,pale yellow,"savory, sweet, tangy",buttery,True,False
Chèvre,goat,France,Cheddar,"fresh soft, artisan","creamy, soft",rindless,white,tangy,goaty,False,False
Chèvre des neiges,"cow, goat",Canada,Cheddar,fresh soft,"soft, spreadable, supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",True,False
Coalho,cow,Brazil,Cheddar,semi-hard,"elastic, firm, springy",natural,yellow,"acidic, salty",fresh,False,False
Coastal Cheddar,cow,England,Cheddar,firm,"creamy, smooth",rindless,pale yellow,"crunchy, sweet",nutty,True,False
Colby,cow,United States,Cheddar,semi-hard,"firm, open, springy",rindless,yellow,sweet,"mild, sweet",False,False
Colony cheese,sheep,Brazil,Cheddar,"semi-hard, artisan","creamy, open, soft, supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",True,False
Comte 12 months,cow,France,Cheddar,semi-hard,buttery,washed,yellow,milky,nutty,False,False
Comte 18 months,cow,France,Cheddar,hard,firm,natural,yellow,fruity,nutty,False,False
Conciato Al Pepe,cow,Italy,Cheddar,hard,"compact, crumbly",natural,pale yellow,"sharp, spicy",aromatic,False,False
Connemara,cow,United States,Cheddar,"semi-hard, artisan","creamy, firm",natural,white,"fruity, mild","fruity, goaty, rich",True,False
Coolattin Cheddar,cow,Ireland,Cheddar,"hard, artisan","crumbly, open",waxed,pale yellow,"fruity, nutty, sweet",mushroom,False,False
Cornish Blue,cow,England,Cheddar,"semi-soft, artisan","buttery, dense",rindless,white,"creamy, mild, sweet","buttery, mild, sweet",True,False
Cornish Crumbly,cow,England,Cheddar,"semi-soft, artisan",chalky,mold ripened,ivory,creamy,rich,True,False
Cornish Smuggler,cow,England,Cheddar,"semi-soft, artisan",creamy,mold ripened,ivory,creamy,rich,True,False
Cornish Wild Garlic Yarg,cow,England,Cheddar,"semi-firm, artisan",crumbly,leaf wrapped,pale yellow,garlicky,"garlicky, herbal",True,False
Cotherstone,cow,"England, United Kingdom",Cheddar,"semi-hard, artisan","crumbly, open",waxed,pale yellow,"acidic, citrusy, tangy",fresh,True,False
Cougar Gold,cow,United States,Cheddar,semi-soft,"creamy, crumbly, crystalline, firm, smooth",rindless,white,"nutty, sharp","fresh, herbal, spicy, strong",False,False
Country Morning,cow,Canada,Cheddar,"hard, artisan","creamy, crumbly",natural,pale yellow,"nutty, sharp",strong,False,False
Coverdale,cow,"England, United Kingdom",Cheddar,"hard, artisan","creamy, firm, open",natural,white,"buttery, lemony, mild, sharp",rich,True,False
Cracked Pepper Chevre,goat,United States,Cheddar,"semi-soft, artisan","creamy, crumbly, firm",rindless,white,"savory, spicy","clean, fresh",True,False
Cream Cheese,cow,United States,Cheddar,"fresh soft, processed","creamy, spreadable",rindless,white,"creamy, mild, sweet","fresh, pleasant",True,False
Creamy Lancashire,cow,England,Cheddar,"semi-hard, artisan",fluffy,washed,pale yellow,creamy,"mushroom, rich, strong",False,False
Criollo Cheese,cow,Mexico,Cheddar,semi-firm,smooth,washed,pale yellow,"savory, sharp",strong,False,False
Crowley,cow,United States,Cheddar,"semi-soft, hard, artisan","creamy, crumbly, firm, smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey",False,False
Crucolo,cow,Italy,Cheddar,"semi-hard, artisan",buttery,artificial,ivory,"savory, sweet","mild, rich",False,False
Crumbly Lancashire,cow,England,Cheddar,hard,crumbly,rindless,pale yellow,acidic,"fresh, fruity, pleasant",False,False
L'Amuse Brabander Goat Gouda,cow,Netherlands,Cheddar,hard,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",True,False
La Couronne - Fort Aged Comté,cow,"France, Switzerland",Cheddar,semi-hard,dense,natural,pale yellow,"caramel, nutty, sweet",rich,False,False
LaClare Farms Chandoka,"cow, goat",United States,Cheddar,"semi-firm, artisan",creamy,bloomy,ivory,"fruity, tangy",fruity,True,False
LaClare Farms Cheddar,goat,United States,Cheddar,"semi-soft, artisan",creamy,natural,ivory,"mild, sweet, tangy","fruity, sweet",True,False
LaClare Farms Raw Goats Milk Cheddar,goat,United States,Cheddar,"semi-soft, artisan",creamy,rindless,ivory,"mild, sweet, tangy","fruity, sweet",True,False
Laguiole,cow,France,Cheddar,"semi-hard, artisan","creamy, firm, supple",natural,straw,"sharp, sour, tangy",aromatic,False,False
Lairobell,goat,"Scotland, United Kingdom",Cheddar,"hard, artisan","crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,True,False
Lajta,cow,Hungary,Cheddar,soft,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",False,False
Lake District Extra Mature Cheddar,cow,United Kingdom,Cheddar,"semi-soft, artisan",creamy,natural,pale yellow,sweet,rich,True,False
Lake District Mature Cheddar,cow,United Kingdom,Cheddar,"soft, artisan","crumbly, dense",natural,pale yellow,"savory, sweet",fresh,True,False
Lancashire Smoked,cow,England,Cheddar,hard,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",False,False
Landaff,cow,United States,Cheddar,"semi-hard, artisan","creamy, firm, open",natural,straw,"mild, tangy",aromatic,True,False
Latteria Navel,cow,Italy,Cheddar,"hard, soft-ripened",brittle,natural,straw,full-flavored,aromatic,True,False
Laura Chenel Tome,goat,United States,Cheddar,"firm, artisan","crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",True,False
Lavistown,cow,Ireland,Cheddar,"semi-hard, artisan","crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",goaty,True,False
Le Conquerant Camembert,cow,France,Cheddar,"soft, artisan",soft-ripened,waxed,white,"fruity, yeasty",rich,False,False
Le Fium Orbo,"goat, sheep",France,Cheddar,soft,soft-ripened,natural,golden yellow,subtle,strong,False,False
Le Gruyère AOP,cow,Switzerland,Cheddar,hard,compact,ash coated,yellow,sweet,earthy,False,False
Le Marquis Chevre,goat,France,Cheddar,"soft, artisan",soft,natural,ivory,"lemony, tangy",mild,True,False
Le Maréchal,cow,Switzerland,Cheddar,hard,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",False,False
Le Moutier,goat,Canada,Cheddar,fresh firm,firm,natural,white,sweet,fresh,False,False
Le St-Raymond,goat,Canada,Cheddar,soft,"smooth, supple",washed,ivory,"fruity, nutty, woody","aromatic, strong",False,False
Liburnski Sir,"cow, goat, sheep",Croatia,Cheddar,"hard, artisan","creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",True,False
Liliputas,cow,Lithuania,Cheddar,semi-hard,"elastic, firm",waxed,yellow,milky,"fresh, lactic",True,False
Lincolnshire Poacher,cow,England,Cheddar,hard,creamy,mold ripened,yellow,"nutty, sweet",earthy,True,False
Lingot Saint Bousquet d'Orb,goat,France,Cheddar,"soft, artisan",smooth,natural,white,sweet,herbal,False,False
Liptauer,cow,United States,Cheddar,"fresh soft, artisan",firm,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",True,False
Little Colonel,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan","smooth, supple",washed,pale yellow,spicy,pungent,True,False
Little Napoleon,goat,United States,Cheddar,"hard, artisan",firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",False,False
Llanboidy,cow,Wales,Cheddar,"hard, artisan","firm, smooth",natural,white,"buttery, spicy","grassy, sweet",False,False
Llanglofan Farmhouse,cow,"Great Britain, United Kingdom, Wales",Cheddar,"hard, artisan","crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",True,False
Loch Arthur Farmhouse,cow,Scotland,Cheddar,hard,firm,washed,white,nutty,musty,True,False
Loddiswell Avondale,goat,England,Cheddar,semi-soft,"crumbly, firm",washed,orange,sweet,goaty,False,False
Longhorn,cow,United States,Cheddar,semi-hard,"firm, open, springy",rindless,orange,"mild, sweet","pungent, strong",False,False
Lou Palou,cow,France,Cheddar,semi-soft,"elastic, smooth",natural,cream,"mild, sweet",pleasant,False,False
Lunetta,cow,"Canada, Italy",Cheddar,"fresh soft, artisan",creamy,natural,white,"creamy, salty","aromatic, fresh",False,False
Lyburn Garlic and Nettle,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan","creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",True,False
Lyburn Lightly Oak Smoked,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,True,False
Macadamia Nut Cheese,goat,United States,Cheddar,"firm, artisan","firm, spreadable",natural,brown,"creamy, nutty, sweet",nutty,True,False
Maffra Aged Rinded Cheddar,cow,Australia,Cheddar,"hard, artisan","buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,False,False
Maffra Cheshire,cow,Australia,Cheddar,"hard, artisan",crumbly,natural,pale yellow,"mellow, salty, sharp, tart",goaty,True,False
Maffra Dargo Walnut,cow,Australia,Cheddar,"semi-hard, artisan","crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",False,False
Maffra Mature Cheddar,cow,Australia,Cheddar,"hard, artisan","creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",smokey,True,False
